state,page_title,url,article_revid
Alabama,"Abbeville, Alabama","https://en.wikipedia.org/wiki/Abbeville,_Alabama",1171163550
Alabama,"Adamsville, Alabama","https://en.wikipedia.org/wiki/Adamsville,_Alabama",1177621427
Alabama,"Addison, Alabama","https://en.wikipedia.org/wiki/Addison,_Alabama",1168359898
Alabama,"Akron, Alabama","https://en.wikipedia.org/wiki/Akron,_Alabama",1165909508
Alabama,"Alabaster, Alabama","https://en.wikipedia.org/wiki/Alabaster,_Alabama",1179139816
Alabama,"Albertville, Alabama","https://en.wikipedia.org/wiki/Albertville,_Alabama",1179198677
Alabama,"Alexander City, Alabama","https://en.wikipedia.org/wiki/Alexander_City,_Alabama",1179140073
Alabama,"Aliceville, Alabama","https://en.wikipedia.org/wiki/Aliceville,_Alabama",1167792390
Alabama,"Allgood, Alabama","https://en.wikipedia.org/wiki/Allgood,_Alabama",1165909718
Alabama,"Altoona, Alabama","https://en.wikipedia.org/wiki/Altoona,_Alabama",1165909823
Alabama,"Andalusia, Alabama","https://en.wikipedia.org/wiki/Andalusia,_Alabama",1179141586
Alabama,"Anderson, Lauderdale County, Alabama","https://en.wikipedia.org/wiki/Anderson,_Lauderdale_County,_Alabama",662691565
Alabama,"Anniston, Alabama","https://en.wikipedia.org/wiki/Anniston,_Alabama",1176049382
Alabama,"Arab, Alabama","https://en.wikipedia.org/wiki/Arab,_Alabama",1171375371
Alabama,"Ardmore, Alabama","https://en.wikipedia.org/wiki/Ardmore,_Alabama",1176903479
Alabama,"Argo, Alabama","https://en.wikipedia.org/wiki/Argo,_Alabama",1177623964
Alabama,"Ariton, Alabama","https://en.wikipedia.org/wiki/Ariton,_Alabama",1166014478
Alabama,"Arley, Alabama","https://en.wikipedia.org/wiki/Arley,_Alabama",1166014498
Alabama,"Ashford, Alabama","https://en.wikipedia.org/wiki/Ashford,_Alabama",1166014593
Alabama,"Ashland, Alabama","https://en.wikipedia.org/wiki/Ashland,_Alabama",1174331705
Alabama,"Ashville, Alabama","https://en.wikipedia.org/wiki/Ashville,_Alabama",1148844011
Alabama,"Athens, Alabama","https://en.wikipedia.org/wiki/Athens,_Alabama",1175308807
Alabama,"Atmore, Alabama","https://en.wikipedia.org/wiki/Atmore,_Alabama",1167926420
Alabama,"Attalla, Alabama","https://en.wikipedia.org/wiki/Attalla,_Alabama",1165507856
Alabama,"Auburn, Alabama","https://en.wikipedia.org/wiki/Auburn,_Alabama",1179878794
Alabama,"Autaugaville, Alabama","https://en.wikipedia.org/wiki/Autaugaville,_Alabama",1166014815
Alabama,"Avon, Alabama","https://en.wikipedia.org/wiki/Avon,_Alabama",1166014861
Alabama,"Babbie, Alabama","https://en.wikipedia.org/wiki/Babbie,_Alabama",1168820544
Alabama,"Baileyton, Alabama","https://en.wikipedia.org/wiki/Baileyton,_Alabama",1166014939
Alabama,"Bakerhill, Alabama","https://en.wikipedia.org/wiki/Bakerhill,_Alabama",1166014954
Alabama,"Banks, Alabama","https://en.wikipedia.org/wiki/Banks,_Alabama",1166014997
Alabama,"Bay Minette, Alabama","https://en.wikipedia.org/wiki/Bay_Minette,_Alabama",1177963600
